Benchmark Type,Test Name,Kernel ID,Thread block Limit SM,Thread block limit registers,Thread block limit shared memory,Thread block limit warps,Theoretical max active warps per SM,Theoretical occupancy,Achieved active warps per SM,Achieved occupancy,Unified L1 cache hit rate,Unified L1 cache hit rate for read transactions (global memory accesses),L2 cache hit rate,GMEM read requests,GMEM write requests,GMEM total requests,GMEM read transactions,GMEM write transactions,GMEM total transactions,Number of read transactions per read requests,Number of write transactions per write requests,L2 read transactions,L2 write transactions,L2 total transactions,DRAM total transactions,Total number of global atomic requests,Total number of global reduction requests,Global memory atomic and reduction transactions,GPU active cycles,SM active cycles,Warp instructions executed,Instructions executed per clock cycle (IPC),Total instructions executed per seconds (MIPS),Kernel execution time (ns),Unified L1 cache total requests,Unified L2 cache total requests
test,l1config-20,0,32.0,2.0,1.0,16.0,4.0,6.25,3.9983189745972005,6.247373397808126,46.37986788169662,0.0,98.59905196585676,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,545262776.0,276332992.0,821595768.0,17071356.0,0.0,0.0,0.0,40073140.0,39984629.89285714,2483027968.0,1.1064717768689567,1029.2482751734165,43079776.0,144965632.0,205397954.0
test,l1config-20,1,32.0,2.0,1.0,16.0,4.0,6.25,3.998319795249455,6.247374680077273,46.38148403093705,0.0,98.59939360546336,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,545262864.0,276344660.0,821607524.0,17072096.0,0.0,0.0,0.0,40091639.0,39990725.60714286,2483027968.0,1.1059611963466998,1028.1736991906546,43124800.0,144965632.0,205397876.0
test,l1config-20,2,32.0,2.0,1.0,16.0,4.0,6.25,3.998343343717268,6.247411474558231,46.38143865584461,0.0,98.59895636909408,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,545263124.0,276346268.0,821609392.0,17083712.0,0.0,0.0,0.0,40069721.0,39947720.928571425,2483027968.0,1.10656610516335,1028.7080334936602,43102400.0,144965632.0,205401961.0
test,l1config-20,3,32.0,2.0,1.0,16.0,4.0,6.25,3.9983481137669346,6.247418927760835,46.38116131247686,0.0,98.59719665375988,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,545263120.0,276352716.0,821615836.0,17073528.0,0.0,0.0,0.0,40057788.0,39945417.78571428,2483027968.0,1.106895772972159,1029.1175564976936,43085248.0,144965632.0,205401546.0
test,l1config-20,4,32.0,2.0,1.0,16.0,4.0,6.25,3.9983317147854893,6.247393304352327,46.3804795694299,0.0,98.55525261673954,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,545263180.0,276350756.0,821613936.0,17073176.0,0.0,0.0,0.0,40100377.0,39971860.75,2483027968.0,1.1057201762374669,1028.4125543307173,43114784.0,144965632.0,205398218.0
test,l1config-20,5,32.0,2.0,1.0,16.0,4.0,6.25,3.998332264952879,6.247394163988874,46.38158648525852,0.0,98.59829239253004,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,545262892.0,276345188.0,821608080.0,17079392.0,0.0,0.0,0.0,40084478.0,39952132.41071428,2483027968.0,1.1061588635152297,1028.3331780124588,43118112.0,144965632.0,205401749.0
test,l1config-20,6,32.0,2.0,1.0,16.0,4.0,6.25,3.998338347427115,6.247403667854867,46.38136044994322,0.0,98.5994332042495,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,545262972.0,276346764.0,821609736.0,17152712.0,0.0,0.0,0.0,40105571.0,39954372.41071428,2483027968.0,1.1055771348898817,1027.5987654399464,43148928.0,144965632.0,205401897.0
test,l1config-20,7,32.0,2.0,1.0,16.0,4.0,6.25,3.9983319668626933,6.247393698222958,46.381666039449705,0.0,98.59906251925037,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,545263540.0,276340872.0,821604412.0,17074044.0,0.0,0.0,0.0,40103586.0,39955055.83928572,2483027968.0,1.1056318712487976,1028.6843583645839,43103392.0,144965632.0,205400471.0
test,l1config-20,8,32.0,2.0,1.0,16.0,4.0,6.25,3.9983424408017907,6.247410063752798,46.381552362679514,0.0,98.59477086046849,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,545262652.0,276334024.0,821596676.0,17079576.0,0.0,0.0,0.0,40101267.0,39944490.196428575,2483027968.0,1.1056957532687854,1027.7923715567895,43140800.0,144965632.0,205405464.0
test,l1config-20,9,32.0,2.0,1.0,16.0,4.0,6.25,3.9983337399561014,6.2473964686814085,46.38130413727448,0.0,98.57839995382699,34078720.0,4194304.0,38273024.0,545259520.0,67108864.0,612368384.0,16.0,16.0,545263016.0,276342520.0,821605536.0,17082648.0,0.0,0.0,0.0,40091138.0,39963257.125,2483027968.0,1.105975182543869,1030.0286909414167,43047136.0,144965632.0,205401228.0
